id_track,duration_sec,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,bars,beats,sections,segments,tatums
5hN4Rb80cAYgzl48f0r8ED,243.6702,0.0,231.71773,-9.076,102.6,0.578,4,0.961,4,0.845,1,0.631,103,413,12,990,826
4tFSsCBvv8RqEULeVJ3vrJ,214.88327,0.0,212.0156,-7.047,93.544,0.233,4,0.173,6,1.0,1,0.811,82,328,9,837,656
16N2lpCidTNYdNq2YZhE98,290.0898,0.28458,283.2254,-8.831,146.957,0.286,4,0.776,6,0.797,1,0.626,176,703,10,1051,1406
6KmJfZCd5f4P11vuglbIrN,284.08163,0.0,273.3395,-9.184,89.117,0.062,4,0.309,11,0.618,0,0.626,105,413,14,890,826
2MtlU2e5PmuKSrX5mhSjOO,274.13333,0.34163,260.74847,-9.675,92.959,0.236,4,0.845,0,0.72,1,0.654,105,417,10,1021,834
0RSJyhdacIvDIapU79hUy1,69.82667,0.25542,69.82667,-23.944,77.161,0.507,4,0.892,7,0.002,1,0.152,20,82,3,190,164
4AVuDNWohEaQQZJ3fSt9M8,222.43265,0.0,211.52219,-11.459,82.919,0.088,4,0.925,11,0.371,0,0.701,75,302,9,766,604
76CtO0Xm5paZVEVRxoG9rz,349.15265,0.0,338.11737,-10.713,79.238,0.065,3,0.06,4,1.0,1,0.889,150,453,13,911,906
78Tw2T8YcTRTRX1CSqjKKO,332.02667,0.2327,322.84445,-10.252,165.713,0.052,1,0.533,4,0.597,1,0.528,222,891,14,830,1782
1ZgZKhXuAnQdXwlLJOk7TU,296.84,0.54571,293.99945,-5.83,102.887,0.706,4,1.0,11,0.944,1,0.457,125,504,11,1149,1008
7Ev2BC5iwtLVqOFEOxkaWg,323.68326,0.26154,316.01196,-10.49,84.526,0.244,4,0.767,7,0.563,1,0.698,111,453,11,1146,906
5y1pX4kYMvHQvvoA2Bw56Q,111.09333,0.20862,102.54512,-23.099,98.07,0.684,4,0.947,2,0.83,1,0.56,42,172,5,441,344
0QcYseQfUmZpjXGoXDT9z4,208.17332,0.3185,198.13007,-22.531,183.226,0.183,4,0.966,0,0.006,1,0.334,148,599,11,770,1198
5DFNZIBtwTmcEjZNuovJQ9,239.54286,0.0,230.9805,-10.125,90.187,0.218,3,0.167,11,0.629,0,0.701,116,354,9,863,708
11FMm2I3emp1NlSx9Nmv2e,269.2,0.27882,265.94974,-11.59,129.479,0.667,4,0.87,4,0.655,0,0.566,144,579,13,982,1158
75WKINePeVTeiINVjuGfQN,297.50668,0.0,289.63992,-10.017,104.001,0.735,4,0.124,7,0.375,1,0.487,127,501,15,1079,1002
3qLRKr67UyZ2ttp5mbFZbE,249.57388,0.26113,244.33778,-9.762,80.545,0.043,4,0.944,6,0.653,0,0.533,82,331,9,1024,662
2GOztq545KfhVtznk79MXP,174.90668,0.09828,169.5463,-15.497,170.75,0.971,4,1.0,9,0.706,1,0.559,122,486,9,720,972
29Q6NQ4WsPYTsZ8nhdAhfo,261.0,0.3707,252.49379,-24.89,191.921,0.074,4,1.0,4,0.734,1,0.612,202,805,13,906,1610
1dEkRQ2ASVMTLF7Ig5Mud7,536.5333,0.19093,523.6738,-18.868,134.924,0.381,3,0.999,10,0.598,0,0.709,394,1185,26,1716,2370
1Q6A7Uy4vXDfcnigKgwPZp,201.86667,2.93732,198.64671,-4.938,79.965,0.103,4,0.901,7,0.843,1,0.615,74,298,5,816,596
6LBe2sMUQXrdkSsQl5nsEZ,149.26666,0.41728,138.73341,-12.155,112.193,0.702,3,0.82,11,0.065,0,0.305,90,272,8,398,544
6YTKVPhPMXNxNsf0QsRAnn,66.66667,0.45333,60.91175,-5.943,127.966,0.918,1,0.516,6,0.193,1,0.484,33,139,4,171,278
6mWdNEHXuAIekaHsbZOnYs,123.46667,0.0,119.29252,-11.823,122.218,0.75,4,0.974,11,0.314,0,0.46,61,243,6,445,486
1MA84S4bkJRns3oPwrOR6H,326.42667,0.37705,314.45624,-11.831,146.119,0.439,4,1.0,4,0.4,1,0.556,194,781,13,1143,1562
16GdiwewBf99MhUSVsxUBe,227.73334,0.0,218.01796,-20.543,104.233,0.344,4,0.989,9,0.644,1,0.48,95,378,12,822,756
2mFPovaMAZWGyutjdjroiV,216.24,0.43043,207.00009,-9.547,123.296,0.762,4,0.905,7,0.583,1,0.565,109,437,9,711,874
6gQ9gDBM2FZ7sOtkxWL59B,309.16,0.39424,294.1794,-10.999,140.121,0.179,4,1.0,9,0.479,0,0.432,178,712,13,971,1424
6X9AiUNnORDRNMAMiQOC1q,241.49333,0.69932,234.55637,-14.68,154.329,0.096,3,0.994,2,1.0,1,0.469,192,578,14,652,1156
6S9pAMyMWYw9SCS8Lxs6mS,237.26666,0.52658,226.59193,-5.947,175.81,0.394,4,1.0,6,0.8,1,0.646,167,668,12,726,1336
4PHwUuWiFNdw8ZVarShpiS,216.47673,0.06952,206.97687,-9.619,168.437,0.077,4,0.89,11,0.876,1,0.793,150,599,10,916,1198
23Ry7IvrU6JBcxkpdqsPaw,220.09332,0.39297,209.35692,-8.083,133.606,0.0,4,0.835,2,1.0,1,0.968,109,436,11,699,872
7HNwTZy1A2085PUtmhwIGT,223.84036,0.27193,217.89024,-23.592,95.86,0.263,4,0.994,9,0.464,1,0.441,88,354,12,806,708
5gqVYz6YUDwK1t0zz5COz1,291.93332,0.74549,286.10468,-16.074,187.944,0.189,3,1.0,4,0.818,1,0.672,286,856,13,771,1712
1LJo5Y0TXHYvLwu22T6ibI,284.86667,0.30086,264.841,-9.327,166.518,0.037,4,0.822,11,1.0,1,0.819,199,791,9,869,1582
7rB2t4ZR5fs6bcOkGrD5gJ,299.7551,0.0,289.6283,-9.137,120.998,0.676,4,0.888,11,1.0,1,0.798,151,601,17,1016,1202
1ANmbiLB34QyAtFU8nR1s9,264.22668,0.20077,251.91328,-6.453,94.655,0.253,4,1.0,0,0.703,1,0.598,100,406,11,932,812
0vIf80QzERDninM4AgRnrA,228.34666,0.29338,211.081,-16.145,91.159,0.192,4,0.82,0,0.619,1,0.584,87,344,12,728,688
3XCwfjx8hEdQXLstW06JtT,248.57333,0.2263,239.07846,-23.508,167.327,0.195,4,1.0,0,1.0,1,0.723,167,668,11,825,1336
6QlroU0h60W8iiJdwQGd2C,195.05333,0.9985,192.29605,-9.03,87.392,0.473,4,0.963,9,0.63,1,0.433,69,282,8,706,564
1uuqZpWZbIIa45DrJAZap2,217.06667,3.33206,206.46024,-10.417,93.143,0.209,4,0.8,0,0.887,1,0.795,81,329,12,807,658
3itNK7IIFJGq73jDLuyWcI,385.6,0.19215,365.56335,-10.51,141.847,0.793,4,1.0,4,0.118,0,0.32,224,900,17,1088,1800
2a5l5yHBZ25ZpCxy3coRSS,249.33333,0.20231,238.99138,-6.243,102.87,0.897,4,1.0,8,0.488,1,0.555,103,415,12,932,830
2TRSLN1ITzNrxoKG8CTgq4,180.53333,0.25451,171.45033,-14.409,67.118,0.024,4,0.725,0,0.696,1,0.423,47,192,10,476,384
2TuL4yV8E9qWvvxYX7Ny7H,190.11919,0.0,185.56227,-5.739,139.302,0.38,4,0.813,4,0.701,1,0.613,108,432,7,777,864
15RTSdJUgYMWMhpcb1KQgD,172.64,0.23297,164.32181,-20.147,93.41,0.151,4,0.979,9,0.443,1,0.501,65,263,9,643,526
6FQnk9vWnjk8fCkNubEeQB,236.49333,0.0702,224.98975,-10.127,109.494,0.749,4,0.99,9,0.793,1,0.463,103,418,10,770,836
51AbRZEbXM11hnG5nQt3hX,153.20816,0.65084,148.77605,-15.51,67.648,0.008,3,0.694,5,0.626,1,0.611,56,169,6,542,338
0UunQrhCRajMi4kwYtfNeT,132.58667,0.25583,125.64898,-18.688,203.855,0.269,4,0.806,8,0.758,1,0.557,106,430,7,493,860
2rh1QpYoDNGBAGqyPV9aUO,226.06667,0.17941,215.82367,-8.771,176.547,0.412,4,1.0,0,0.036,1,0.292,161,649,10,744,1298
21s0bjVrP7RtQskeUKZxOu,264.30667,1.03342,259.61652,-3.768,114.996,0.801,4,1.0,0,0.965,1,0.6,124,498,16,1229,996
0tFuTobynZI2CKdzXQ6v6V,259.45334,0.0,259.45334,-7.179,116.002,0.98,4,1.0,11,0.521,1,0.169,125,501,12,1192,1002
75NBuHx7ad04FAXKsoEbrg,239.61333,0.0,233.40118,-8.39,128.034,1.0,4,1.0,5,0.468,1,0.377,127,511,10,1123,1022
6XBrHkI8gHc7oRGd8Vuxv6,224.37334,0.0,224.37334,-6.483,125.025,0.758,4,0.998,11,0.303,0,0.29,116,467,7,886,934
2jZQ4tNLP0tgzYXbdtwPdi,396.93332,0.42998,390.8673,-7.508,134.464,0.871,4,1.0,7,0.133,1,0.261,219,877,13,2195,1754
3vDr6CEH9KwQSIoyWHvYWa,238.17332,0.0,238.17334,-7.036,120.037,0.872,4,1.0,9,0.279,0,0.266,119,477,9,1092,953
0WepWqVggMJ7OiVl4PBE8g,196.4,0.42381,189.7941,-5.999,158.659,0.737,3,0.699,7,0.274,1,0.454,167,505,10,785,1010
5KKA2xfuxPgOpSlCuBpOAQ,409.02667,0.2781,399.25552,-6.676,124.416,0.824,4,1.0,7,0.612,1,0.54,209,842,14,2276,1684
7E7saHbXneStj74KKUdfzG,248.50667,0.0,248.50667,-6.088,112.038,1.0,4,1.0,6,0.572,1,0.67,117,464,11,1229,928
5MY2shxqQ4bFBPUeYB5azo,581.4,0.38063,575.57623,-8.927,122.461,0.7,4,1.0,0,0.386,1,0.235,295,1178,26,3081,2356
3H4VxEjsbVroJdqIYkWE3z,139.13333,0.26712,132.69624,-6.926,170.117,0.017,4,0.823,2,0.117,1,0.53,97,392,9,729,784
2hNvVIN88wlihfnm8Wbk5h,251.41333,0.0,247.25769,-9.466,130.011,0.834,4,1.0,9,0.744,0,0.761,135,541,11,1051,1082
4DkDLo1U2srKIRPFFJRXx7,499.49332,0.0,499.49335,-7.211,125.345,0.685,4,0.988,2,0.296,0,0.38,261,1040,16,2430,2080
71y1uCM1llGeWRSdPVYSPI,228.26666,0.42454,224.16544,-7.472,113.245,0.702,4,0.875,7,1.0,1,0.835,105,425,13,1299,850
7lyjh9rgJsl1dPeiQhaxUv,431.93332,0.4381,427.20654,-9.372,95.398,0.359,4,1.0,2,0.0,1,0.151,170,678,18,2047,1356
7gkHUEn6Ayd2EQdr57SAit,252.53333,0.06957,245.22594,-7.837,172.108,0.374,4,1.0,0,0.686,1,0.67,180,719,15,1167,1438
